time,x,y,z,gforce
19.087,0.027,-0.014,1.006,1.006
19.112,0.020,-0.011,1.007,1.008
19.113,0.011,-0.004,1.005,1.005
19.118,0.000,0.005,1.005,1.005
19.127,-0.010,0.009,1.004,1.005
19.136,-0.010,0.009,1.005,1.005
19.146,-0.003,0.007,1.006,1.006
19.158,0.005,-0.002,1.006,1.006
19.166,0.018,-0.009,1.006,1.006
19.178,0.025,-0.014,1.007,1.007
19.186,0.026,-0.014,1.006,1.007
19.196,0.028,-0.020,0.989,0.990
19.227,0.031,-0.002,1.016,1.016
19.228,0.017,0.007,1.025,1.025
19.230,-0.054,0.014,0.977,0.979
19.249,-0.047,0.014,1.024,1.025
19.251,-0.047,0.014,1.024,1.025
19.259,-0.017,0.024,0.995,0.996
19.266,0.004,0.002,1.011,1.011
19.278,0.037,-0.015,1.005,1.006
19.286,0.054,-0.032,1.004,1.006
19.296,0.061,-0.035,1.009,1.012
19.328,0.052,-0.026,1.003,1.004
19.332,0.016,-0.015,1.008,1.008
19.333,-0.016,0.013,1.005,1.005
19.366,-0.040,0.029,1.002,1.004
19.367,-0.049,0.032,1.004,1.006
19.368,-0.035,0.026,1.004,1.005
19.371,-0.006,0.008,1.005,1.005
19.377,0.027,-0.014,1.005,1.005
19.388,0.055,-0.032,1.006,1.008
19.399,0.065,-0.039,1.007,1.010
19.469,0.053,-0.031,1.006,1.008
19.477,0.025,-0.013,1.005,1.005
19.479,-0.009,0.008,1.008,1.008
19.480,-0.034,0.025,1.003,1.004
19.482,-0.044,0.031,1.002,1.003
19.483,-0.036,0.027,1.004,1.005
19.485,-0.012,0.010,1.005,1.005
19.487,0.021,-0.011,1.004,1.004
19.489,0.047,-0.027,1.007,1.008
19.509,0.059,-0.036,1.007,1.009
19.511,0.052,-0.031,1.005,1.007
19.517,0.028,-0.016,1.006,1.007
19.527,-0.002,0.005,1.006,1.006
19.580,-0.028,0.020,1.004,1.004
19.582,-0.042,0.027,1.003,1.005
19.592,-0.035,0.023,1.004,1.005
19.593,-0.014,0.010,1.006,1.006
19.594,0.015,-0.008,1.005,1.006
19.602,0.043,-0.023,1.007,1.008
19.603,0.055,-0.030,1.006,1.008
19.607,0.051,-0.028,1.006,1.008
19.616,0.032,-0.018,1.007,1.007
19.638,0.004,-0.000,1.004,1.004
19.640,-0.023,0.018,1.004,1.005
19.646,-0.038,0.026,1.005,1.006
19.657,-0.036,0.024,1.003,1.004
19.666,-0.018,0.014,1.004,1.004
19.677,0.010,-0.002,1.006,1.006
19.688,0.036,-0.020,1.006,1.007
19.707,0.051,-0.029,1.007,1.008
19.708,0.051,-0.029,1.007,1.008
19.716,0.049,-0.028,1.007,1.009
19.749,0.032,-0.019,1.007,1.008
19.750,0.008,-0.003,1.004,1.004
19.751,-0.018,0.014,1.005,1.005
19.759,-0.033,0.022,1.005,1.006
19.766,-0.032,0.025,1.003,1.004
19.776,-0.017,0.014,1.005,1.005
19.790,0.008,-0.001,1.005,1.005
19.796,0.031,-0.017,1.007,1.007
19.806,0.045,-0.026,1.007,1.009
19.817,0.046,-0.028,1.008,1.009
19.831,0.034,-0.019,1.007,1.008
19.846,0.013,-0.006,1.005,1.005
19.847,-0.013,0.010,1.004,1.004
19.861,-0.029,0.020,1.004,1.005
19.866,-0.031,0.022,1.004,1.005
19.883,-0.019,0.013,1.005,1.005
19.891,0.003,0.001,1.006,1.006
19.896,0.027,-0.015,1.006,1.007
19.906,0.042,-0.025,1.004,1.005
19.916,0.044,-0.027,1.005,1.006
19.932,0.035,-0.020,1.004,1.005
19.942,0.014,-0.009,1.006,1.006
19.953,-0.009,0.008,1.005,1.005
19.956,-0.026,0.019,1.003,1.004
19.966,-0.029,0.021,1.004,1.004
19.977,-0.018,0.017,1.004,1.005
19.988,0.000,0.003,1.006,1.006
19.997,0.021,-0.011,1.006,1.006
20.007,0.038,-0.023,1.006,1.007
20.017,0.044,-0.025,1.006,1.008
20.052,0.037,-0.021,1.006,1.007
20.053,0.019,-0.010,1.005,1.006
20.068,-0.003,0.006,1.003,1.004
20.069,-0.021,0.016,1.004,1.004
20.069,-0.027,0.020,1.003,1.004
20.081,-0.019,0.014,1.002,1.002
20.089,-0.002,0.004,1.005,1.005
20.096,0.018,-0.009,1.005,1.005
20.107,0.034,-0.019,1.005,1.006
20.136,0.040,-0.023,1.007,1.008
20.138,0.035,-0.020,1.007,1.008
20.138,0.020,-0.010,1.008,1.008
20.147,-0.000,0.002,1.008,1.008
20.158,-0.018,0.013,1.006,1.006
20.178,-0.027,0.018,1.006,1.006
20.179,-0.027,0.018,1.006,1.006
20.189,-0.020,0.014,1.006,1.006
20.197,-0.004,0.007,1.006,1.006
20.207,0.015,-0.007,1.006,1.006
20.218,0.032,-0.019,1.005,1.006
20.227,0.038,-0.021,1.006,1.007
20.254,0.034,-0.021,1.006,1.007
20.265,0.024,-0.022,0.967,0.967
20.267,0.019,0.004,1.057,1.058
20.268,-0.023,0.014,0.995,0.995
20.277,-0.053,0.018,1.000,1.002
20.292,-0.037,0.029,1.005,1.006
20.300,-0.002,0.017,1.006,1.006
20.309,0.027,-0.010,1.005,1.005
20.320,0.048,-0.033,1.011,1.012
20.327,0.065,-0.038,1.007,1.010
20.348,0.058,-0.033,1.007,1.010
20.350,0.027,-0.017,1.006,1.006
20.368,-0.008,0.007,1.006,1.006
20.369,-0.038,0.028,1.004,1.005
20.377,-0.051,0.035,1.005,1.007
20.387,-0.042,0.029,1.004,1.006
20.397,-0.016,0.014,1.008,1.008
20.407,0.020,-0.010,1.008,1.008
20.443,0.049,-0.029,1.006,1.007
20.444,0.064,-0.039,1.008,1.011
20.445,0.056,-0.035,1.006,1.008
20.469,0.031,-0.019,1.006,1.007
20.471,-0.001,0.002,1.006,1.006
20.472,-0.031,0.021,1.007,1.008
20.480,-0.046,0.031,1.004,1.006
20.489,-0.041,0.028,1.003,1.004
20.497,-0.021,0.015,1.006,1.006
20.507,0.014,-0.007,1.007,1.007
20.552,0.045,-0.023,1.006,1.007
20.553,0.059,-0.035,1.006,1.008
20.554,0.056,-0.032,1.007,1.009
20.558,0.036,-0.020,1.005,1.006
20.559,0.005,-0.001,1.004,1.004
20.581,-0.026,0.018,1.004,1.005
20.583,-0.041,0.029,1.003,1.004
20.592,-0.040,0.027,1.004,1.005
20.598,-0.022,0.016,1.005,1.005
20.615,0.007,-0.002,1.005,1.005
20.639,0.037,-0.021,1.006,1.007
20.641,0.054,-0.032,1.006,1.008
20.641,0.054,-0.032,1.006,1.008
20.651,0.054,-0.032,1.007,1.009
20.667,0.037,-0.021,1.006,1.007
20.667,0.009,-0.006,1.005,1.005
20.677,-0.018,0.013,1.005,1.005
20.687,-0.036,0.027,1.003,1.005
20.697,-0.038,0.027,1.005,1.006
20.707,-0.024,0.016,1.005,1.006
20.736,0.003,0.000,1.006,1.006
20.746,0.033,-0.018,1.006,1.006
20.747,0.050,-0.029,1.006,1.007
20.748,0.052,-0.032,1.004,1.006
20.759,0.038,-0.023,1.005,1.006
20.772,0.015,-0.008,1.005,1.005
20.778,-0.013,0.011,1.003,1.003
20.787,-0.031,0.022,1.003,1.003
20.797,-0.036,0.024,1.002,1.003
20.807,-0.024,0.018,1.006,1.006
20.833,-0.004,0.002,1.006,1.006
20.834,0.025,-0.013,1.007,1.007
20.840,0.046,-0.025,1.006,1.007
20.847,0.050,-0.029,1.006,1.008
20.858,0.039,-0.023,1.005,1.006
20.872,0.016,-0.010,1.006,1.006
20.877,-0.009,0.008,1.003,1.003
20.888,-0.027,0.020,1.005,1.006
20.898,-0.032,0.023,1.003,1.003
20.911,-0.024,0.017,1.005,1.005
20.919,-0.003,0.004,1.006,1.006
20.954,0.021,-0.012,1.005,1.005
20.955,0.041,-0.023,1.007,1.008
20.956,0.048,-0.029,1.007,1.008
20.963,0.040,-0.023,1.006,1.007
20.978,0.019,-0.010,1.006,1.006
20.979,-0.003,0.005,1.004,1.004
20.997,-0.022,0.015,1.004,1.004
20.999,-0.030,0.020,1.005,1.006
21.015,-0.024,0.018,1.004,1.005
21.021,-0.007,0.005,1.004,1.005
21.027,0.018,-0.008,1.004,1.004
21.039,0.036,-0.020,1.007,1.008
21.053,0.044,-0.026,1.007,1.008
21.092,0.018,0.054,1.001,1.002
21.094,-0.041,0.166,0.998,1.013
21.095,-0.010,0.141,1.011,1.021
21.096,0.003,-0.072,1.044,1.046
21.109,-0.049,-0.124,1.003,1.012
21.110,-0.049,-0.124,1.003,1.012
21.130,0.005,-0.129,0.976,0.984
21.132,0.057,-0.146,1.001,1.013
21.155,0.086,-0.130,1.011,1.023
21.159,0.083,-0.078,1.004,1.011
21.160,0.047,0.001,1.004,1.005
21.170,0.001,0.074,0.984,0.987
21.178,-0.025,0.094,1.006,1.011
21.188,-0.025,0.088,1.022,1.026
21.205,-0.044,0.099,0.997,1.003
21.208,-0.069,0.064,1.006,1.011
21.221,-0.019,0.051,0.998,1.000
21.228,0.018,0.000,1.007,1.007
21.270,0.052,-0.047,1.007,1.010
21.272,0.070,-0.082,1.010,1.015
21.273,0.058,-0.090,1.005,1.011
21.275,0.032,-0.076,1.007,1.011
21.278,-0.003,-0.045,1.006,1.007
21.289,-0.037,-0.004,1.005,1.006
21.303,-0.048,0.034,1.004,1.006
21.308,-0.039,0.057,1.002,1.005
21.319,-0.017,0.069,1.003,1.005
21.327,0.019,0.056,1.003,1.005
21.348,0.048,0.030,1.007,1.008
21.356,0.063,0.001,1.005,1.007
21.358,0.055,-0.030,1.007,1.009
21.375,0.033,-0.048,1.006,1.008
21.387,0.001,-0.057,1.009,1.010
21.389,-0.036,-0.054,1.006,1.008
21.405,-0.039,-0.033,1.006,1.007
21.408,-0.037,-0.012,1.004,1.005
21.422,-0.016,0.011,1.005,1.005
21.428,0.015,0.027,1.003,1.004
21.439,0.040,0.036,1.004,1.006
21.475,0.056,0.037,1.004,1.006
21.476,0.052,0.031,1.004,1.006
21.478,0.033,0.018,1.005,1.005
21.479,0.005,0.000,1.005,1.005
21.506,-0.035,-0.031,1.004,1.005
21.508,-0.033,-0.032,1.005,1.006
21.509,-0.030,-0.036,1.005,1.006
21.518,-0.008,-0.034,1.006,1.006
21.528,0.018,-0.027,1.006,1.007
21.545,0.037,-0.013,1.007,1.008
21.569,0.047,0.004,1.006,1.007
21.570,0.040,0.024,1.004,1.005
21.578,0.021,0.035,1.004,1.005
21.588,-0.004,0.032,1.003,1.004
21.601,-0.027,0.020,1.002,1.003
21.608,-0.025,0.015,1.004,1.005
21.619,-0.022,-0.011,1.005,1.005
21.628,0.004,-0.023,1.006,1.007
21.651,0.026,-0.037,1.008,1.009
21.652,0.039,-0.038,1.006,1.008
21.658,0.039,-0.032,1.005,1.007
21.683,0.030,-0.017,1.007,1.007
21.684,0.011,0.003,1.006,1.006
21.688,-0.009,0.022,1.004,1.004
21.707,-0.023,0.031,1.004,1.005
21.708,-0.027,0.029,1.004,1.005
21.722,-0.018,0.016,1.005,1.005
21.728,0.007,0.002,1.005,1.005
21.741,0.030,-0.010,1.005,1.005
21.782,0.042,-0.022,1.007,1.008
21.783,0.042,-0.027,1.005,1.006
21.784,0.029,-0.025,1.006,1.007
21.785,0.005,-0.017,1.006,1.006
21.788,-0.016,-0.003,1.004,1.004
21.804,-0.027,0.009,1.005,1.005
21.808,-0.024,0.016,1.004,1.005
21.818,-0.012,0.016,1.006,1.006
21.828,0.009,0.011,1.005,1.005
21.848,0.030,0.001,1.005,1.006
21.849,0.041,-0.007,1.006,1.007
21.860,0.038,-0.012,1.004,1.005
21.885,0.026,-0.012,1.005,1.005
21.886,0.001,-0.016,1.006,1.006
21.888,-0.014,-0.011,1.005,1.005
21.902,-0.021,0.003,1.004,1.004
21.908,-0.017,0.006,1.004,1.004
21.921,-0.005,0.008,1.007,1.007
21.930,0.010,0.004,1.005,1.005
21.969,0.026,-0.000,1.005,1.005
21.970,0.032,-0.004,1.006,1.006
21.973,0.031,-0.008,1.004,1.005
21.974,0.020,-0.008,1.007,1.007
21.992,0.005,-0.008,1.007,1.007
21.993,-0.010,-0.005,1.004,1.004
22.012,-0.013,0.003,1.003,1.004
22.013,-0.009,0.007,1.005,1.005
22.019,-0.000,0.005,1.007,1.007
22.040,0.012,-0.000,1.006,1.006
22.040,0.012,-0.000,1.006,1.006
22.089,0.021,-0.005,1.006,1.006
22.098,0.024,-0.010,1.007,1.007
22.099,0.021,-0.012,1.006,1.006
22.099,0.013,-0.010,1.006,1.006
22.100,0.005,-0.005,1.006,1.006
22.107,-0.002,0.000,1.006,1.006
22.108,-0.006,0.007,1.005,1.005
22.119,-0.004,0.008,1.003,1.003
22.129,0.003,0.005,1.005,1.005
22.148,0.010,-0.004,1.005,1.005
22.149,0.017,-0.008,1.004,1.005
22.159,0.020,-0.010,1.004,1.004
22.172,0.021,-0.010,1.006,1.006
22.181,0.015,-0.008,1.006,1.006
22.188,0.008,-0.003,1.006,1.006
22.199,0.001,0.003,1.005,1.005
22.208,-0.006,0.006,1.005,1.005
22.219,-0.004,0.007,1.004,1.004
22.246,0.000,0.003,1.005,1.005
22.247,0.007,-0.002,1.004,1.004
22.259,0.014,-0.007,1.003,1.003
22.260,0.021,-0.009,1.006,1.006
22.270,0.021,-0.012,1.006,1.006
22.285,0.017,-0.008,1.004,1.004
22.289,0.008,-0.004,1.004,1.004
22.301,0.002,0.000,1.004,1.004
22.309,-0.003,0.004,1.005,1.005
22.319,-0.004,0.005,1.006,1.006
22.349,-0.000,0.003,1.004,1.004
22.350,0.007,-0.003,1.006,1.006
22.351,0.013,-0.005,1.006,1.006
22.362,0.017,-0.010,1.006,1.007
22.382,0.020,-0.011,1.004,1.004
22.383,0.017,-0.008,1.006,1.006
22.389,0.010,-0.004,1.006,1.006
22.401,0.004,0.002,1.005,1.005
22.411,-0.002,0.004,1.007,1.007
22.420,-0.005,0.006,1.006,1.006
22.430,0.001,0.004,1.007,1.007
22.458,0.007,-0.000,1.006,1.006
22.459,0.013,-0.006,1.006,1.007
22.480,0.016,-0.009,1.004,1.004
22.481,0.019,-0.009,1.006,1.006
22.482,0.017,-0.008,1.005,1.005
22.489,0.012,-0.004,1.006,1.006
22.509,0.005,-0.002,1.006,1.006
22.510,0.005,-0.002,1.006,1.006
22.520,-0.001,0.001,1.005,1.005
22.545,-0.003,0.006,1.005,1.005
22.545,0.001,0.004,1.008,1.008
22.549,0.005,-0.002,1.007,1.007
22.559,0.010,-0.007,1.004,1.005
22.569,0.017,-0.008,1.005,1.005
22.582,0.020,-0.011,1.005,1.005
22.589,0.016,-0.008,1.006,1.006
22.600,0.011,-0.005,1.005,1.005
22.609,0.115,-0.022,1.000,1.007
22.620,0.210,-0.024,1.025,1.046
22.635,0.178,-0.019,0.971,0.987
22.642,-0.130,-0.016,1.010,1.018
22.651,-0.217,-0.000,1.080,1.101
22.659,-0.173,0.031,0.908,0.924
22.700,-0.165,0.058,1.046,1.061
22.703,-0.024,0.080,0.995,0.999
22.704,0.080,-0.013,1.015,1.018
22.706,0.129,-0.033,0.996,1.005
22.710,0.141,-0.049,1.015,1.026
22.719,0.118,-0.049,1.006,1.014
22.730,0.045,-0.032,1.005,1.006
22.739,-0.036,-0.004,1.010,1.011
22.750,-0.100,0.016,0.998,1.004
22.760,-0.119,0.026,1.005,1.013
22.797,-0.065,0.031,1.005,1.007
22.799,-0.015,0.017,1.007,1.007
22.800,0.043,0.002,1.003,1.003
22.801,0.089,-0.012,1.008,1.012
22.809,0.106,-0.020,1.005,1.010
22.822,0.084,-0.019,1.008,1.012
22.830,0.033,-0.012,1.005,1.006
22.839,-0.023,-0.004,1.006,1.006
22.861,-0.074,-0.002,1.005,1.008
22.862,-0.093,0.002,1.002,1.007
22.869,-0.050,0.012,1.004,1.006
22.883,-0.004,0.003,1.005,1.005
22.889,0.040,-0.008,1.005,1.006
22.899,0.079,-0.011,1.005,1.008
22.909,0.091,-0.011,1.004,1.008
22.920,0.068,-0.005,1.005,1.007
22.932,0.024,0.004,1.005,1.006
22.940,-0.023,0.008,1.006,1.006
22.950,-0.075,-0.000,1.005,1.008
22.998,-0.069,0.002,1.003,1.006
22.999,-0.069,0.002,1.003,1.006
23.000,-0.034,0.006,1.006,1.006
23.001,0.009,-0.006,1.006,1.006
23.003,0.044,-0.013,1.005,1.006
23.009,0.073,-0.019,1.004,1.007
23.020,0.073,-0.015,1.005,1.008
23.036,0.047,-0.007,1.005,1.007
23.039,0.010,0.004,1.005,1.005
23.049,-0.027,0.011,1.004,1.004
23.061,-0.072,-0.001,1.005,1.007
23.096,-0.042,0.016,1.005,1.006
23.097,-0.018,0.009,1.005,1.005
23.100,0.013,-0.003,1.004,1.004
23.101,0.049,-0.013,1.006,1.007
23.114,0.062,-0.017,1.006,1.008
23.120,0.058,-0.016,1.008,1.009
23.131,0.033,-0.011,1.005,1.005
23.139,0.000,-0.002,1.005,1.005
23.150,-0.036,0.002,1.005,1.006
23.161,-0.046,0.009,1.003,1.004
23.194,-0.031,0.014,1.004,1.005
23.195,-0.012,0.009,1.006,1.006
23.196,0.019,-0.001,1.005,1.005
23.205,0.043,-0.009,1.006,1.007
23.223,0.056,-0.013,1.006,1.008
23.223,0.046,-0.013,1.006,1.007
23.231,0.025,-0.011,1.005,1.005
23.240,-0.000,-0.005,1.005,1.005
23.261,-0.039,-0.008,1.003,1.004
23.262,-0.028,0.011,1.004,1.005
23.271,-0.025,0.012,1.005,1.005
23.283,-0.003,0.009,1.005,1.005
23.289,0.021,0.000,1.005,1.005
23.301,0.038,-0.007,1.006,1.007
23.316,0.046,-0.012,1.005,1.006
23.319,0.039,-0.013,1.006,1.007
23.330,0.020,-0.010,1.005,1.006
23.340,-0.010,-0.012,1.005,1.005
23.353,-0.025,-0.005,1.002,1.003
23.382,-0.022,0.010,1.004,1.005
23.384,-0.014,0.010,1.004,1.004
23.385,0.003,0.007,1.006,1.006
23.390,0.022,0.001,1.005,1.005
23.413,0.034,-0.007,1.005,1.005
23.414,0.036,-0.010,1.005,1.005
23.421,0.028,-0.011,1.004,1.005
23.440,0.012,-0.009,1.004,1.004
23.446,0.012,-0.009,1.004,1.004
23.474,-0.011,-0.010,1.004,1.004
23.489,-0.018,-0.001,1.005,1.005
23.490,-0.016,0.009,1.006,1.007
23.492,-0.007,0.009,1.006,1.006
23.499,0.008,0.005,1.004,1.004
23.500,0.022,-0.001,1.007,1.007
23.510,0.028,-0.006,1.005,1.005
23.520,0.029,-0.009,1.005,1.006
23.530,0.020,-0.010,1.006,1.006
23.590,0.007,-0.011,1.005,1.005
23.593,-0.006,-0.006,1.006,1.006
23.601,-0.010,0.002,1.007,1.007
23.602,-0.007,0.007,1.006,1.006
23.603,-0.001,0.007,1.006,1.006
23.604,0.008,0.002,1.004,1.004
23.605,0.017,-0.002,1.005,1.005
23.626,0.021,-0.009,1.006,1.006
23.626,0.020,-0.011,1.006,1.006
23.630,0.014,-0.011,1.006,1.006
23.640,0.006,-0.008,1.006,1.006
23.655,0.001,-0.004,1.005,1.005
23.664,-0.002,0.004,1.006,1.006
23.670,-0.003,0.007,1.005,1.005
23.688,0.002,0.005,1.005,1.005
23.690,0.007,0.001,1.006,1.006
23.711,0.012,-0.004,1.005,1.005
23.711,0.017,-0.010,1.005,1.005
23.722,0.020,-0.011,1.005,1.006
23.730,0.017,-0.008,1.005,1.005
23.740,0.012,-0.005,1.003,1.004
23.753,0.004,-0.001,1.004,1.004
23.781,0.000,0.001,1.005,1.005
23.782,-0.003,0.003,1.005,1.005
23.783,-0.001,0.003,1.006,1.006
23.790,0.004,-0.002,1.006,1.006
23.801,0.011,-0.005,1.004,1.004
23.819,0.016,-0.008,1.005,1.005
23.821,0.018,-0.010,1.006,1.007
23.837,0.017,-0.009,1.005,1.005
23.842,0.011,-0.008,1.007,1.007
23.859,0.006,-0.002,1.006,1.006
23.861,0.003,0.003,1.006,1.006
23.871,0.003,0.002,1.004,1.004
23.911,0.090,-0.015,1.000,1.004
23.917,0.191,-0.029,1.020,1.038
23.918,0.191,-0.029,1.020,1.038
23.920,0.121,-0.034,0.993,1.001
23.921,-0.098,-0.029,1.002,1.007
23.930,-0.180,-0.009,1.015,1.031
23.941,-0.170,0.036,0.999,1.014
23.969,-0.139,0.064,1.012,1.023
23.976,-0.049,0.081,1.008,1.013
23.977,0.044,0.012,1.000,1.001
23.981,0.108,-0.020,1.010,1.016
23.994,0.137,-0.033,1.003,1.013
24.000,0.135,-0.045,1.011,1.021
24.016,0.099,-0.042,1.007,1.012
24.021,0.029,-0.023,1.009,1.009
24.036,-0.043,-0.002,1.004,1.005
24.042,-0.111,0.011,1.004,1.010
24.050,-0.105,0.022,1.004,1.010
24.070,-0.061,0.023,1.002,1.004
24.071,-0.004,0.013,1.007,1.007
24.111,0.052,-0.002,1.003,1.004
24.112,0.098,-0.013,1.007,1.012
24.112,0.107,-0.017,1.006,1.012
24.113,0.080,-0.014,1.007,1.011
24.120,0.025,-0.005,1.006,1.007
24.130,-0.032,0.003,1.007,1.007
24.157,-0.095,-0.003,1.006,1.010
24.158,-0.083,0.006,1.003,1.007
24.183,-0.046,0.010,1.004,1.005
24.184,0.005,-0.002,1.007,1.007
24.185,0.049,-0.011,1.004,1.005
24.195,0.086,-0.014,1.007,1.011
24.201,0.090,-0.011,1.007,1.011
24.214,0.059,-0.002,1.007,1.009
24.221,0.014,0.006,1.007,1.007
24.231,-0.032,0.011,1.004,1.004
24.260,-0.089,-0.006,1.004,1.008
24.264,-0.058,0.011,1.001,1.003
24.265,-0.027,0.004,1.005,1.005
24.273,0.016,-0.006,1.007,1.007
24.294,0.054,-0.015,1.006,1.008
24.295,0.076,-0.020,1.005,1.008
24.301,0.074,-0.015,1.004,1.006
24.312,0.041,-0.006,1.005,1.006
24.322,0.002,0.004,1.006,1.006
24.331,-0.034,0.010,1.004,1.004
24.344,-0.074,0.002,1.002,1.005
24.352,-0.041,0.018,1.004,1.005
24.372,-0.013,0.007,1.007,1.007
24.373,-0.013,0.007,1.007,1.007
24.407,0.018,-0.004,1.006,1.006
24.410,0.053,-0.015,1.005,1.007
24.416,0.065,-0.018,1.003,1.006
24.416,0.055,-0.015,1.006,1.008
24.421,0.029,-0.011,1.006,1.006
24.431,-0.005,-0.002,1.006,1.006
24.444,-0.044,-0.001,1.006,1.007
24.450,-0.040,0.012,1.002,1.003
24.461,-0.030,0.013,1.004,1.005
24.471,-0.008,0.010,1.006,1.006
24.506,0.024,-0.003,1.006,1.006
24.507,0.045,-0.009,1.004,1.005
24.508,0.055,-0.013,1.007,1.008
24.511,0.046,-0.014,1.005,1.006
24.521,0.022,-0.009,1.005,1.006
24.531,-0.007,-0.004,1.005,1.005
24.543,-0.039,-0.006,1.003,1.003
24.551,-0.030,0.012,1.005,1.006
24.562,-0.021,0.012,1.005,1.005
24.571,0.000,0.008,1.007,1.007
24.595,0.024,-0.000,1.005,1.005
24.596,0.040,-0.006,1.006,1.006
24.605,0.045,-0.012,1.006,1.007
24.622,0.036,-0.011,1.005,1.006
24.623,0.016,-0.008,1.005,1.006
24.630,-0.013,-0.011,1.005,1.005
24.646,-0.026,-0.001,1.004,1.004
24.651,-0.023,0.011,1.005,1.005
24.663,-0.012,0.009,1.003,1.003
24.671,0.006,0.005,1.003,1.003
24.700,0.023,-0.001,1.003,1.004
24.705,0.035,-0.008,1.004,1.005
24.706,0.035,-0.012,1.005,1.006
24.713,0.026,-0.012,1.006,1.007
24.722,0.009,-0.009,1.006,1.006
24.733,-0.013,-0.011,1.006,1.006
24.747,-0.016,0.002,1.005,1.005
24.751,-0.015,0.009,1.004,1.004
24.766,-0.005,0.010,1.006,1.006
24.773,0.010,0.004,1.005,1.005
24.806,0.021,-0.002,1.004,1.005
24.809,0.028,-0.007,1.004,1.005
24.811,0.027,-0.009,1.006,1.007
24.815,0.018,-0.011,1.006,1.006
24.832,0.005,-0.010,1.006,1.006
24.833,0.005,-0.010,1.006,1.006
24.843,-0.008,-0.005,1.004,1.004
24.851,-0.009,0.005,1.005,1.005
24.867,-0.006,0.008,1.004,1.004
24.906,-0.001,0.007,1.006,1.006
24.909,0.009,0.004,1.007,1.007
24.910,0.017,-0.002,1.006,1.006
24.911,0.020,-0.011,1.006,1.007
24.917,0.019,-0.013,1.007,1.007
24.924,0.015,-0.011,1.005,1.005
24.931,0.010,-0.008,1.006,1.006
24.943,0.002,-0.001,1.005,1.005
24.951,-0.004,0.004,1.004,1.004
24.961,-0.004,0.008,1.004,1.004
25.002,0.001,0.005,1.005,1.005
25.003,0.004,-0.001,1.006,1.006
25.004,0.013,-0.006,1.007,1.007
25.005,0.017,-0.010,1.005,1.006
25.028,0.017,-0.003,1.005,1.006
25.029,0.014,0.003,1.007,1.007
25.031,0.010,0.006,1.006,1.006
25.042,0.008,0.013,1.005,1.005
25.051,0.002,0.005,1.005,1.005
25.065,-0.006,-0.006,1.005,1.005
25.098,-0.003,-0.023,1.006,1.006
25.099,0.005,-0.032,1.005,1.006
25.100,0.014,-0.034,1.005,1.006
25.102,0.022,-0.027,1.006,1.007
25.122,0.026,-0.014,1.007,1.007
25.124,0.021,0.005,1.006,1.006
25.131,0.011,0.025,1.006,1.007
25.142,-0.002,0.037,1.004,1.005
25.151,-0.013,0.035,1.005,1.005
25.175,-0.015,0.024,1.004,1.004
25.177,-0.003,0.010,1.006,1.006
25.184,0.010,-0.009,1.005,1.005
25.205,0.022,-0.024,1.004,1.005
25.207,0.027,-0.032,1.006,1.007
25.214,0.025,-0.033,1.007,1.008
25.227,0.015,-0.025,1.006,1.007
25.231,0.003,-0.012,1.005,1.005
25.245,-0.009,0.004,1.004,1.004
25.251,-0.011,0.015,1.004,1.004
25.262,-0.009,0.023,1.004,1.004
25.304,0.003,0.021,1.005,1.005
25.305,0.013,0.013,1.005,1.005
25.308,0.022,0.003,1.007,1.008
25.309,0.022,0.003,1.007,1.008
25.311,0.027,-0.006,1.006,1.006
25.325,0.022,-0.014,1.006,1.006
25.331,0.011,-0.019,1.005,1.005
25.344,-0.001,-0.020,1.005,1.005
25.352,-0.005,-0.013,1.004,1.004
25.391,-0.006,-0.006,1.005,1.005
25.392,-0.002,-0.000,1.004,1.004
25.393,0.007,0.003,1.005,1.005
25.394,0.013,0.006,1.005,1.005
25.402,0.019,0.006,1.007,1.008
25.412,0.018,0.004,1.007,1.007
25.424,0.014,-0.001,1.005,1.005
25.432,0.008,-0.005,1.007,1.007
25.442,0.001,-0.009,1.004,1.004
25.452,-0.004,-0.009,1.004,1.004
25.468,0.000,-0.005,1.004,1.004
25.472,0.007,-0.004,1.005,1.005
25.491,0.011,-0.007,1.006,1.006
25.492,0.015,-0.007,1.006,1.006
25.502,0.015,-0.006,1.009,1.009
25.512,0.015,-0.006,1.009,1.009
25.525,0.017,-0.009,1.077,1.077
25.532,0.034,-0.022,1.024,1.025
25.542,0.019,0.004,0.924,0.924
25.551,0.008,0.008,0.935,0.935
25.567,0.021,-0.000,1.019,1.019
25.577,-0.004,0.012,1.085,1.085
25.587,-0.013,0.018,1.023,1.023
25.592,-0.030,0.015,0.991,0.991
25.603,-0.034,0.021,0.963,0.964
25.612,-0.018,0.015,0.986,0.986
25.624,-0.008,-0.000,1.044,1.044
25.632,0.004,-0.003,0.991,0.991
25.642,0.008,-0.009,0.972,0.972
25.652,0.022,-0.023,0.990,0.991
25.673,0.026,-0.027,1.003,1.004
25.676,0.022,-0.027,1.019,1.019
25.682,0.022,-0.030,1.012,1.012
25.704,0.019,-0.020,1.027,1.028
25.706,0.023,-0.006,1.005,1.005
25.712,0.024,0.003,1.012,1.012
25.726,0.026,0.010,1.004,1.004
25.732,0.023,0.013,1.009,1.009
25.743,0.019,0.012,1.006,1.006
25.778,0.012,0.007,1.006,1.006
25.779,0.012,0.007,1.006,1.006
